Simulation Run Started: 24-Feb-2015 16:00:38
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.UPAerror at tick 1
Male 2 is currently dehydrated on tick: 8886
Female 2 is currently dehydrated on tick: 8886
Female 1 is currently dehydrated on tick: 8887
Male 2 is currently dehydrated on tick: 8887
Female 2 is currently dehydrated on tick: 8887
Female 1 is currently dehydrated on tick: 8888
Male 2 is currently dehydrated on tick: 8888
Female 2 is currently dehydrated on tick: 8888
Female 1 is currently dehydrated on tick: 8889
Male 2 is currently dehydrated on tick: 8889
Female 2 is currently dehydrated on tick: 8889
Male 1 is currently dehydrated on tick: 8890
Female 1 is currently dehydrated on tick: 8890
Male 2 is currently dehydrated on tick: 8890
Female 2 is currently dehydrated on tick: 8890
Male 1 is currently dehydrated on tick: 8891
Female 1 is currently dehydrated on tick: 8891
Male 2 is currently dehydrated on tick: 8891
Female 2 is currently dehydrated on tick: 8891
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 8892
Female 1 is currently dehydrated on tick: 8892
Male 2 is currently dehydrated on tick: 8892
Female 2 is currently dehydrated on tick: 8892
Female 1 is currently dehydrated on tick: 8893
Male 2 is currently dehydrated on tick: 8893
Female 2 is currently dehydrated on tick: 8893
Male 1 is currently dehydrated on tick: 8894
Female 1 is currently dehydrated on tick: 8894
Male 2 is currently dehydrated on tick: 8894
Female 2 is currently dehydrated on tick: 8894
Female 1 is currently dehydrated on tick: 8895
Male 2 is currently dehydrated on tick: 8895
Female 2 is currently dehydrated on tick: 8895
Female 1 is currently dehydrated on tick: 8896
Male 2 is currently dehydrated on tick: 8896
Female 2 is currently dehydrated on tick: 8896
Female 1 is currently dehydrated on tick: 8897
Male 2 is currently dehydrated on tick: 8897
Female 2 is currently dehydrated on tick: 8897
Male 1 is currently dehydrated on tick: 8898
Female 1 is currently dehydrated on tick: 8898
Male 2 is currently dehydrated on tick: 8898
Female 2 is currently dehydrated on tick: 8898
Female 1 is currently dehydrated on tick: 8899
Male 2 is currently dehydrated on tick: 8899
Female 2 is currently dehydrated on tick: 8899
Female 1 is currently dehydrated on tick: 8900
Male 2 is currently dehydrated on tick: 8900
Female 2 is currently dehydrated on tick: 8900
Female 1 is currently dehydrated on tick: 8901
Female 1 has died from dehydration on tick: 8901 with a risk value of: 0.027099
Female 1 has been killed
Male 2 is currently dehydrated on tick: 8901
Male 2 has died from dehydration on tick: 8901 with a risk value of: 0.094362
Male 2 has been killed
Female 2 is currently dehydrated on tick: 8901
Elapsed time is 325.499289 seconds.
Simulation Run Ended: 24-Feb-2015 16:06:03
