Simulation Run Started: 18-Apr-2015 22:11:50
Baseline Simulation Run - With Lettuce & All ISRU
Failure invoked in waterRS.UPAerror at tick 1
Female 1 is currently dehydrated on tick: 9984
Male 2 is currently dehydrated on tick: 9984
Female 2 is currently dehydrated on tick: 9984
Male 1 is currently dehydrated on tick: 9985
Female 1 is currently dehydrated on tick: 9985
Male 2 is currently dehydrated on tick: 9985
Female 2 is currently dehydrated on tick: 9985
Male 1 is currently dehydrated on tick: 9986
Female 1 is currently dehydrated on tick: 9986
Male 2 is currently dehydrated on tick: 9986
Female 2 is currently dehydrated on tick: 9986
Male 1 is currently dehydrated on tick: 9987
Female 1 is currently dehydrated on tick: 9987
Male 2 is currently dehydrated on tick: 9987
Female 2 is currently dehydrated on tick: 9987
Male 1 is currently dehydrated on tick: 9988
Female 1 is currently dehydrated on tick: 9988
Male 2 is currently dehydrated on tick: 9988
Female 2 is currently dehydrated on tick: 9988
Male 1 is currently dehydrated on tick: 9989
Female 1 is currently dehydrated on tick: 9989
Male 2 is currently dehydrated on tick: 9989
Female 2 is currently dehydrated on tick: 9989
Male 1 is currently dehydrated on tick: 9990
Female 1 is currently dehydrated on tick: 9990
Male 2 is currently dehydrated on tick: 9990
Female 2 is currently dehydrated on tick: 9990
Male 1 is currently dehydrated on tick: 9991
Female 1 is currently dehydrated on tick: 9991
Male 2 is currently dehydrated on tick: 9991
Female 2 is currently dehydrated on tick: 9991
Male 1 is currently dehydrated on tick: 9992
Female 1 is currently dehydrated on tick: 9992
Male 2 is currently dehydrated on tick: 9992
Female 2 is currently dehydrated on tick: 9992
Male 1 is currently dehydrated on tick: 9993
Female 1 is currently dehydrated on tick: 9993
Male 2 is currently dehydrated on tick: 9993
Female 2 is currently dehydrated on tick: 9993
Male 1 is currently dehydrated on tick: 9994
Female 1 is currently dehydrated on tick: 9994
Male 2 is currently dehydrated on tick: 9994
Female 2 is currently dehydrated on tick: 9994
Male 1 is currently dehydrated on tick: 9995
Female 1 is currently dehydrated on tick: 9995
Male 2 is currently dehydrated on tick: 9995
Female 2 is currently dehydrated on tick: 9995
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 9996
Female 1 is currently dehydrated on tick: 9996
Male 2 is currently dehydrated on tick: 9996
Female 2 is currently dehydrated on tick: 9996
Male 1 is currently dehydrated on tick: 9997
Female 1 is currently dehydrated on tick: 9997
Male 2 is currently dehydrated on tick: 9997
Female 2 is currently dehydrated on tick: 9997
Male 1 is currently dehydrated on tick: 9998
Female 1 is currently dehydrated on tick: 9998
Male 2 is currently dehydrated on tick: 9998
Female 2 is currently dehydrated on tick: 9998
Male 1 is currently dehydrated on tick: 9999
Female 1 is currently dehydrated on tick: 9999
Male 2 is currently dehydrated on tick: 9999
Female 2 is currently dehydrated on tick: 9999
Male 1 is currently dehydrated on tick: 10000
Female 1 is currently dehydrated on tick: 10000
Male 2 is currently dehydrated on tick: 10000
Female 2 is currently dehydrated on tick: 10000
Male 1 is currently dehydrated on tick: 10001
Female 1 is currently dehydrated on tick: 10001
Male 2 is currently dehydrated on tick: 10001
Female 2 is currently dehydrated on tick: 10001
Male 1 is currently dehydrated on tick: 10002
Female 1 is currently dehydrated on tick: 10002
Male 2 is currently dehydrated on tick: 10002
Female 2 is currently dehydrated on tick: 10002
Male 1 is currently dehydrated on tick: 10003
Female 1 is currently dehydrated on tick: 10003
Male 2 is currently dehydrated on tick: 10003
Female 2 is currently dehydrated on tick: 10003
Male 1 is currently dehydrated on tick: 10042
Female 1 is currently dehydrated on tick: 10042
Male 2 is currently dehydrated on tick: 10042
Female 2 is currently dehydrated on tick: 10042
Male 1 is currently dehydrated on tick: 10043
Female 1 is currently dehydrated on tick: 10043
Male 2 is currently dehydrated on tick: 10043
Female 2 is currently dehydrated on tick: 10043
Insufficient resources available to fill PLSS Feedwater Reservoir. Filling store with as many resources as is available
Male 1 is currently dehydrated on tick: 10044
Female 1 is currently dehydrated on tick: 10044
Male 2 is currently dehydrated on tick: 10044
Female 2 is currently dehydrated on tick: 10044
Male 1 is currently dehydrated on tick: 10045
Female 1 is currently dehydrated on tick: 10045
Male 2 is currently dehydrated on tick: 10045
Female 2 is currently dehydrated on tick: 10045
Male 1 is currently dehydrated on tick: 10046
Female 1 is currently dehydrated on tick: 10046
Male 2 is currently dehydrated on tick: 10046
Female 2 is currently dehydrated on tick: 10046
Male 1 is currently dehydrated on tick: 10047
Female 1 is currently dehydrated on tick: 10047
Male 2 is currently dehydrated on tick: 10047
Female 2 is currently dehydrated on tick: 10047
Male 1 is currently dehydrated on tick: 10048
Female 1 is currently dehydrated on tick: 10048
Male 2 is currently dehydrated on tick: 10048
Female 2 is currently dehydrated on tick: 10048
Male 1 is currently dehydrated on tick: 10049
Female 1 is currently dehydrated on tick: 10049
Male 2 is currently dehydrated on tick: 10049
Female 2 is currently dehydrated on tick: 10049
Male 1 is currently dehydrated on tick: 10050
Female 1 is currently dehydrated on tick: 10050
Male 2 is currently dehydrated on tick: 10050
Female 2 is currently dehydrated on tick: 10050
Male 1 is currently dehydrated on tick: 10051
Female 1 is currently dehydrated on tick: 10051
Male 2 is currently dehydrated on tick: 10051
Female 2 is currently dehydrated on tick: 10051
Male 1 is currently dehydrated on tick: 10052
Female 1 is currently dehydrated on tick: 10052
Male 2 is currently dehydrated on tick: 10052
Female 2 is currently dehydrated on tick: 10052
Male 1 is currently dehydrated on tick: 10053
Female 1 is currently dehydrated on tick: 10053
Male 2 is currently dehydrated on tick: 10053
Female 2 is currently dehydrated on tick: 10053
Male 1 is currently dehydrated on tick: 10054
Female 1 is currently dehydrated on tick: 10054
Male 2 is currently dehydrated on tick: 10054
Female 2 is currently dehydrated on tick: 10054
Male 1 is currently dehydrated on tick: 10055
Female 1 is currently dehydrated on tick: 10055
Male 2 is currently dehydrated on tick: 10055
Female 2 is currently dehydrated on tick: 10055
Male 1 is currently dehydrated on tick: 10056
Female 1 is currently dehydrated on tick: 10056
Male 2 is currently dehydrated on tick: 10056
Female 2 is currently dehydrated on tick: 10056
Male 1 is currently dehydrated on tick: 10057
Female 1 is currently dehydrated on tick: 10057
Male 2 is currently dehydrated on tick: 10057
Female 2 is currently dehydrated on tick: 10057
Male 1 is currently dehydrated on tick: 10058
Female 1 is currently dehydrated on tick: 10058
Male 2 is currently dehydrated on tick: 10058
Female 2 is currently dehydrated on tick: 10058
Male 1 is currently dehydrated on tick: 10059
Female 1 is currently dehydrated on tick: 10059
Male 2 is currently dehydrated on tick: 10059
Female 2 is currently dehydrated on tick: 10059
Male 1 is currently dehydrated on tick: 10060
Female 1 is currently dehydrated on tick: 10060
Male 2 is currently dehydrated on tick: 10060
Female 2 is currently dehydrated on tick: 10060
Female 2 has died from dehydration on tick: 10060 with a risk value of: 0.074384
Female 2 has been killed
Elapsed time is 316.488860 seconds.
Simulation Run Ended: 18-Apr-2015 22:17:06
